"name"	"taxRank"	"taxID"	"Max"	"porechoped_A_16S01.cladeReads.."	"porechoped_A_16S02.cladeReads.."	"porechoped_A_16S03.cladeReads.."	"porechoped_A_16S04.cladeReads.."	"porechoped_A_16S05.cladeReads.."	"porechoped_A_16S06.cladeReads.."	"porechoped_A_16S07.cladeReads.."	"porechoped_A_16S08.cladeReads.."	"porechoped_A_16S09.cladeReads.."	"porechoped_A_16S10.cladeReads.."	"porechoped_A_16S11.cladeReads.."	"porechoped_A_16S12.cladeReads.."	"porechoped_B_16S01.cladeReads.."	"porechoped_B_16S02.cladeReads.."	"porechoped_B_16S03.cladeReads.."	"porechoped_B_16S04.cladeReads.."	"porechoped_B_16S05.cladeReads.."	"porechoped_B_16S06.cladeReads.."	"porechoped_B_16S07.cladeReads.."	"porechoped_B_16S08.cladeReads.."	"porechoped_B_16S09.cladeReads.."	"porechoped_B_16S10.cladeReads.."	"porechoped_B_16S11.cladeReads.."	"porechoped_B_16S12.cladeReads.."	"porechoped_C_16S01.cladeReads.."	"porechoped_C_16S02.cladeReads.."	"porechoped_C_16S03.cladeReads.."	"porechoped_C_16S04.cladeReads.."	"porechoped_C_16S05.cladeReads.."	"porechoped_C_16S06.cladeReads.."	"porechoped_C_16S07.cladeReads.."	"porechoped_C_16S08.cladeReads.."	"porechoped_C_16S09.cladeReads.."	"porechoped_C_16S10.cladeReads.."	"porechoped_C_16S11.cladeReads.."	"porechoped_C_16S12.cladeReads.."	"porechoped_C_2_16S01.cladeReads.."	"porechoped_C_2_16S02.cladeReads.."	"porechoped_C_2_16S03.cladeReads.."	"porechoped_C_2_16S04.cladeReads.."	"porechoped_C_2_16S05.cladeReads.."	"porechoped_C_2_16S06.cladeReads.."	"porechoped_C_2_16S07.cladeReads.."	"porechoped_C_2_16S08.cladeReads.."	"porechoped_C_2_16S09.cladeReads.."	"porechoped_C_2_16S10.cladeReads.."	"porechoped_C_2_16S11.cladeReads.."	"porechoped_C_2_16S12.cladeReads.."	"porechoped_D_16S01.cladeReads.."	"porechoped_D_16S02.cladeReads.."	"porechoped_D_16S03.cladeReads.."	"porechoped_D_16S04.cladeReads.."	"porechoped_D_16S05.cladeReads.."	"porechoped_D_16S06.cladeReads.."	"porechoped_D_16S08.cladeReads.."	"lineage"
"Homo sapiens"	"S"	9606	100	94.89	13.11	18.83	99.88	71.56	12.85	71.98	0.1127	4.754	99.26	99.89	41.14	56.73	95.37	98.89	98.73	27.74	3.363	1.256	18.63	39.92	10.68	98.96	99.58	1.405	0.09306	0.1079	2.65	39.26	76.35	0.03051	0.5162	16.28	4.384	0.02028	0.1364	42.6	4.348	100	97.17	60	20.1	8	100	99.98	98.72	39.23	0.03305	100	99.75	30	80	33.33	28.57	NA	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"Staphylococcus aureus"	"S"	1280	82.58	3.65	0.04595	0.5051	NA	NA	0.1001	NA	0.1859	9.263	0.2451	NA	0.05974	0.0397	NA	NA	NA	NA	82.58	NA	NA	NA	0.1117	NA	NA	1.505	1.473	1.087	0.7535	0.502	0.8982	0.3966	0.295	0.3965	0.2292	12.63	0.01364	NA	26.09	NA	0.04074	NA	NA	80	NA	NA	NA	NA	13.53	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Clostridioides difficile"	"S"	1496	3.872	1.46	0.01414	NA	NA	NA	0.01201	NA	0.0169	0.01068	NA	NA	0.01991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02057	NA	NA	0.08267	0.1396	0.1541	0.4403	NA	NA	NA	NA	0.08811	0.08596	0.01014	3.872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptostreptococcaceae>Clostridioides"
"Streptococcus mutans"	"S"	1309	79.73	NA	79.73	NA	NA	NA	NA	0.7782	0.005633	NA	0.2451	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01763	NA	NA	NA	NA	0.007707	0.008467	NA	NA	0.183	NA	NA	0.02865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pyogenes"	"S"	1314	6.994	NA	1.325	0.938	NA	NA	6.994	2.724	2.935	0.6944	NA	0.007576	5.685	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.195	NA	NA	0.03307	0.04136	0.02312	0.04233	1.506	0.8982	3.478	4.72	3.128	2.292	0.2535	0.01364	NA	NA	NA	0.02522	NA	NA	NA	NA	NA	NA	NA	0.1983	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oralis"	"S"	1303	3.61	NA	0.7281	NA	NA	NA	1.269	NA	1.267	NA	NA	NA	1.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.654	NA	NA	NA	0.03102	0.04624	0.0508	0.3012	1.497	3.203	2.065	2.555	3.61	NA	0.15	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus agalactiae"	"S"	1311	1.155	NA	0.2545	0.1443	NA	NA	0.4925	NA	0.2873	0.02137	NA	NA	1.155	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.429	NA	NA	NA	NA	NA	NA	0.6024	NA	0.8237	1.106	0.5507	0.3152	0.03042	NA	NA	NA	NA	0.009699	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus suis"	"S"	1307	1.098	NA	0.1414	0.07215	NA	NA	0.3924	0.3891	0.2704	0.04274	NA	NA	0.8463	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4085	NA	NA	NA	0.00517	0.03854	0.0508	0.1004	NA	1.098	0.59	0.4405	0.5158	0.01014	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae"	"S"	1313	41.83	NA	0.1272	0.1443	NA	0.3058	41.83	NA	0.5014	0.1603	NA	0.007576	3.574	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	0.9374	NA	NA	0.0496	0.04653	0.05395	0.03387	0.7028	0.5988	1.129	0.9587	1.079	1.318	0.08113	0.02727	NA	NA	NA	0.007759	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus dysgalactiae"	"S"	1334	27.18	NA	0.08482	0.1443	0.009653	0.3058	22.13	2.724	7.272	0.05342	NA	0.007576	27.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	0.1293	0.007707	0.04233	3.614	3.293	14.4	14.38	9.824	7.393	0.08113	0.01364	NA	NA	NA	0.06789	20	0.4902	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
