Run	Run_BC	PCR-Nr.
A	A_16S01	4697
A	A_16S02	4632
A	A_16S03	4639
A	A_16S04	4641
A	A_16S05	4583
A	A_16S06	4544
A	A_16S07	4506
A	A_16S08	4391
A	A_16S09	3608
A	A_16S10	4543
A	A_16S11	4513
A	A_16S12	4293
B	B_16S01	4173
B	B_16S02	4037
B	B_16S03	4048
B	B_16S04	3998
B	B_16S05	4004
B	B_16S06	3673
B	B_16S07	3496
B	B_16S08	3457
B	B_16S09	4576
B	B_16S10	3941
B	B_16S11	4680
B	B_16S12	4682
C	C_16S01	1666
C	C_16S02	2108
C	C_16S03	2100
C	C_16S04	1960
C	C_16S05	2002
C	C_16S06	2154
C	C_16S07	1922
C	C_16S08	1929
C	C_16S09	1665
C	C_16S10	2052
C	C_16S11	NC
C	C_16S12	PC
C_2	C_2_16S01	1666
C_2	C_2_16S02	2108
C_2	C_2_16S03	2100
C_2	C_2_16S04	1960
C_2	C_2_16S05	2002
C_2	C_2_16S06	2154
C_2	C_2_16S07	1922
C_2	C_2_16S08	1929
C_2	C_2_16S09	1665
C_2	C_2_16S10	2052
C_2	C_2_16S11	3003
C_2	C_2_16S12	PC
D	D_16S01	2659
D	D_16S02	2659
D	D_16S03	2700
D	D_16S04	2700
D	D_16S05	2701
D	D_16S06	2701
